Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete Compressive Strength,Fine_Agg_Copy,Cement_Scaled
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,852.1,40.18
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,755.8,36.260000000000005
323.7,1078.1999999999998,0.0,183.8,10.3,942.7,659.9,3,28.3,659.9,32.37
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,605.0,37.95
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,755.8,36.260000000000005
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,803.7,28.630000000000003
362.6,189.0,0.0,164.9,,944.7,755.8,3,35.3,755.8,36.260000000000005
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,707.9,43.9
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,755.8,38.989999999999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,755.8,36.260000000000005
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,755.8,33.79
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2,756.7,37.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,611.8,31.330000000000002
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,887.1,42.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,803.7,42.5
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,992.6,37.5
475.0,118.8,0.0,181.1,8.9,1278.15,781.5,7,55.6,781.5,47.5
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,840.5,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,887.1,42.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,925.7,38.86
531.3,0.0,0.0,141.8,28.2,852.1,893.7,-1,46.9,893.7,53.129999999999995
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,887.1,42.5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,880.4,31.880000000000003
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,852.1,40.18
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,755.8,36.260000000000005
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,659.9,32.37
379.5,151.2,0.0,153.9,15.9,567.15,605.0,7,47.1,605.0,37.95
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,755.8,36.260000000000005
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0,803.7,28.630000000000003
362.6,189.0,0.0,164.9,11.6,1417.0500000000002,755.8,7,55.9,755.8,36.260000000000005
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,707.9,43.9
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09,755.8,38.989999999999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9,755.8,36.260000000000005
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,755.8,33.79
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,756.7,37.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,611.8,31.330000000000002
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,887.1,42.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8,803.7,42.5
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,992.6,37.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,781.5,47.5
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9,840.5,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,887.1,42.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,925.7,38.86
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,893.7,53.129999999999995
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,887.1,42.5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,880.4,31.880000000000003
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,852.1,40.18
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,755.8,36.260000000000005
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,659.9,32.37
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,605.0,37.95
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,755.8,36.260000000000005
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,803.7,28.630000000000003
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,755.8,36.260000000000005
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,707.9,43.9
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,755.8,38.989999999999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,755.8,36.260000000000005
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,755.8,33.79
374.0,189.2,0.0,170.1,10.1,926.1,756.7,-1,63.4,756.7,37.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,611.8,31.330000000000002
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,887.1,42.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,803.7,42.5
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2,992.6,37.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,,781.5,47.5
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3,840.5,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,887.1,42.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,925.7,38.86
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8,893.7,53.129999999999995
425.0,106.3,0.0,153.5,,852.1,887.1,56,64.3,887.1,42.5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,880.4,31.880000000000003
401.8,94.7,0.0,147.4,,946.8,852.1,56,73.7,852.1,40.18
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,755.8,36.260000000000005
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,659.9,32.37
379.5,151.2,0.0,153.9,,1134.3,605.0,56,54.9,605.0,37.95
362.6,189.0,0.0,164.9,11.6,944.7,755.8,-1,77.3,755.8,36.260000000000005
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,803.7,28.630000000000003
362.6,189.0,0.0,,11.6,944.7,755.8,56,77.3,755.8,36.260000000000005
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,707.9,43.9
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,755.8,38.989999999999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,,755.8,36.260000000000005
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,755.8,33.79
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,756.7,37.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,611.8,31.330000000000002
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,887.1,42.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,803.7,42.5
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,992.6,37.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19,781.5,47.5
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7,840.5,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,887.1,42.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6,925.7,38.86
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,893.7,53.129999999999995
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,,887.1,42.5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,880.4,31.880000000000003
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,852.1,40.18
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,755.8,36.260000000000005
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5,605.0,37.95
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,755.8,36.260000000000005
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,803.7,28.630000000000003
362.6,189.0,0.0,,11.6,944.7,755.8,91,79.3,755.8,36.260000000000005
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3,707.9,43.9
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6,755.8,38.989999999999995
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,755.8,36.260000000000005
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8,755.8,33.79
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58,870.3,22.240000000000002
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45,870.3,22.240000000000002
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89,870.3,22.240000000000002
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,870.3,22.240000000000002
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71,870.3,22.240000000000002
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,852.2,23.380000000000003
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14,852.2,23.380000000000003
233.8,0.0,94.6,197.9,4.6,947.0,852.2,-1,22.84,852.2,23.380000000000003
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66,852.2,23.380000000000003
233.8,0.0,94.6,197.9,4.6,473.5,852.2,100,34.56,852.2,23.380000000000003
194.7,0.0,100.5,,7.5,1006.4,905.9,3,12.45,905.9,19.47
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99,905.9,19.47
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72,905.9,19.47
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96,905.9,19.47
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,905.9,19.47
190.7,1078.1999999999998,125.4,162.1,7.8,1090.0,804.0,3,15.04,804.0,19.07
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06,804.0,19.07
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4,804.0,19.07
190.7,1078.1999999999998,125.4,162.1,7.8,1090.0,804.0,56,35.34,804.0,19.07
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57,804.0,19.07
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,779.3,21.21
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92,779.3,21.21
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9,779.3,21.21
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2,779.3,21.21
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,779.3,21.21
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,758.6,23.0
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,758.6,23.0
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,758.6,23.0
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54,758.6,23.0
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34,758.6,23.0
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45,802.6,19.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72,802.6,19.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,802.6,19.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56,802.6,19.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39,802.6,19.03
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76,780.1,16.61
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48,780.1,16.61
166.1,0.0,163.3,,4.5,1058.6,780.1,28,21.54,780.1,16.61
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63,780.1,16.61
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,,780.1,16.61
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,780.1,16.8
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,780.1,16.8
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,780.1,16.8
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,780.1,16.8
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,780.1,16.8
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0,785.4,21.369999999999997
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,785.4,21.369999999999997
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,-1,45.71,785.4,21.369999999999997
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,785.4,21.369999999999997
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,785.4,21.369999999999997
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18,785.5,21.380000000000003
213.8,98.1,24.5,181.7,6.7,1599.0,785.5,14,17.84,785.5,21.380000000000003
213.8,98.1,24.5,181.7,,1066.0,785.5,28,40.23,785.5,21.380000000000003
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13,785.5,21.380000000000003
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,785.5,21.380000000000003
229.7,0.0,118.2,195.2,,1028.1,757.6,3,13.36,757.6,22.97
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32,757.6,22.97
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54,757.6,22.97
229.7,0.0,118.2,,6.1,1028.1,757.6,56,31.35,757.6,22.97
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86,757.6,22.97
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93,847.0,23.81
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69,847.0,23.81
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23,847.0,23.81
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59,847.0,23.81
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,847.0,23.81
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82,861.2,25.0
250.0,0.0,95.7,187.4,5.5,1435.35,861.2,14,24.92,861.2,25.0
250.0,0.0,95.7,187.4,,956.9,861.2,28,29.22,861.2,25.0
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33,861.2,25.0
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,861.2,25.0
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,,903.6,21.25
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,903.6,21.25
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64,903.6,21.25
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55,903.6,21.25
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92,903.6,21.25
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33,903.8,21.259999999999998
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37,903.8,21.259999999999998
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4,903.8,21.259999999999998
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,-1,44.4,903.8,21.259999999999998
212.6,0.0,100.4,,10.4,1003.8,903.8,100,47.74,903.8,21.259999999999998
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52,799.5,21.2
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35,799.5,21.2
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5,799.5,21.2
212.0,1078.1999999999998,124.8,159.0,7.8,1085.4,799.5,56,45.08,799.5,21.2
212.0,0.0,124.8,,7.8,1085.4,799.5,100,47.82,799.5,21.2
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44,778.5,23.18
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77,778.5,23.18
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73,778.5,23.18
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7,778.5,23.18
231.8,1078.1999999999998,121.6,174.0,6.7,1056.4,778.5,100,45.84,778.5,23.18
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22,757.7,25.14
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93,757.7,25.14
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65,757.7,25.14
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,757.7,25.14
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,,757.7,25.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12,757.7,25.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43,757.7,25.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66,757.7,25.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,757.7,25.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21,757.7,25.14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62,777.8,18.14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6,777.8,18.14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,777.8,18.14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57,777.8,18.14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37,777.8,18.14
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32,780.7,18.2
182.0,45.2,122.0,170.2,,1059.4,780.7,14,21.5,780.7,18.2
182.0,45.2,122.0,,8.2,1059.4,780.7,28,31.27,780.7,18.2
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5,780.7,18.2
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,780.7,18.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,796.2,16.89
168.9,42.2,124.3,158.3,,1080.8,796.2,14,23.51,796.2,16.89
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,796.2,16.89
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,796.2,16.89
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,796.2,16.89
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5,865.0,29.04
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67,865.0,29.04
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74,865.0,29.04
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,865.0,29.04
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97,865.0,29.04
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14,875.6,27.71
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89,875.6,27.71
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28,875.6,27.71
277.1,0.0,97.4,,11.8,973.9,875.6,56,51.04,875.6,27.71
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64,875.6,27.71
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95,859.2,29.57
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,859.2,29.57
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94,859.2,29.57
295.7,0.0,95.6,171.5,8.9,955.1,859.2,-1,48.72,859.2,29.57
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04,859.2,29.57
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02,899.8,25.18
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36,899.8,25.18
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94,899.8,25.18
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14,899.8,25.18
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37,899.8,25.18
