cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,Gill-Color
x,y,y,t,,f,c,b,n,e,r,s,y,w,w,p,w,8,p,k,y,p,e,n
x,f,n,f,,f,c,n,g,e,e,s,s,w,w,p,w,8,p,k,y,u,e,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,8,p,n,v,g,p,p
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,w
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,n
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,m,e,k
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,n,m,e,w
,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e,n
f,y,Y,t,,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e,w
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,w
x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,k
b,s,w,t,,,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,k
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,k
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,v,u,p,k
,y,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,w
,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,8,e,n,a,g,e,n
b,s,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e,w
x,s,y,t,l,,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,k
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e,p
s,f,g,f,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,n,v,u,e,k
b,y,Y,t,,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,s,m,e,k
,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,m,e,g
b,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,g,e,n
,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,k
x,s,w,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,n
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e,w
x,y,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,n,g,e,w
x,f,g,f,,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,p
f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,8,p,n,v,d,e,p
b,y,w,t,l,,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,g
,f,y,t,,f,w,n,w,t,b,s,s,w,w,p,w,8,p,n,v,d,e,w
,y,n,t,,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e,p
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,k
f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,p
x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e,n
f,y,N,t,,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e,p
x,y,n,t,p,,c,n,w,e,e,s,s,w,w,p,w,8,p,n,v,u,p,w
f,y,N,t,,,c,b,n,e,r,s,y,w,w,p,w,8,p,n,y,g,e,n
x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e,k
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,8,p,k,s,g,p,w
f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,8,p,n,y,u,e,n
x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,8,e,n,s,g,e,n
,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,w
x,s,n,f,,f,w,b,k,t,e,s,s,w,w,p,w,8,e,k,s,g,e,k
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,n
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,w
s,f,N,f,,,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e,n
x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,8,p,n,y,u,e,n
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,k
x,y,y,t,a,,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,g,e,g
x,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,g
x,s,n,f,,,w,b,n,t,e,s,s,w,w,p,w,8,e,n,a,g,e,n
x,s,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,g
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,8,p,n,s,g,e,p
x,s,y,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,n
b,s,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,g,e,g
x,y,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,g
x,f,n,f,n,,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,p
b,s,Y,t,l,,c,b,n,e,c,s,s,w,w,p,w,8,p,k,n,g,e,n
f,y,Y,t,,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,s,g,e,w
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e,n
,y,w,t,l,,c,b,g,e,c,s,s,w,w,p,w,8,p,n,n,g,e,g
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,n
x,y,y,t,a,,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e,w
,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,s,m,e,n
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,g
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,n,m,e,k
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,n,g,e,w
s,f,g,f,,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,g
x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,w
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,n,m,e,n
,y,W,t,p,,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p,n
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,8,p,n,s,g,e,p
,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,8,p,n,y,u,e,p
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,w
x,s,y,t,l,,w,n,p,t,b,s,s,w,w,p,w,8,p,u,v,d,e,p
s,f,n,f,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,n,y,u,e,k
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,v,g,p,k
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
f,y,N,t,,f,c,n,p,e,e,s,s,w,w,p,w,8,p,k,v,g,p,p
f,s,g,f,,f,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
,s,Y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,m,e,g
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,k,s,g,e,n
b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e,w
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e,h
x,s,W,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,n
,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,n
b,s,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,g,e,w
b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,m,e,w
f,s,w,t,,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,w
x,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,m,e,g
f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,8,p,n,v,d,e,p
,y,w,t,,,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p,w
f,f,w,t,,f,w,n,w,t,b,s,s,w,w,p,w,8,p,n,v,d,e,w
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,g,e,n
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
b,s,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,n,g,e,w
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,8,p,k,y,p,e,w
b,y,y,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,g
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,k
f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,w
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,k
,f,g,f,,f,w,b,k,t,e,f,f,w,w,p,w,8,e,k,s,g,e,k
f,f,w,f,,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e,k
x,y,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,w
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,k
,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,n,m,e,g
x,y,W,t,,,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,g,e,w
,s,n,f,,f,w,b,p,t,e,f,s,w,w,p,w,8,e,n,a,g,e,p
x,y,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,g,e,g
s,f,n,f,,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,k
x,s,W,t,,f,w,n,w,t,b,s,s,w,w,p,w,8,p,u,v,d,e,w
x,y,n,t,l,,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,w
,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,n,g,e,k
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,n,g,e,k
b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,n
,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,g,e,g
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,g
b,y,y,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,n
x,f,N,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,k
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e,n
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,k
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,y,p,e,w
,s,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,w
b,s,w,t,a,,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,m,e,w
x,y,n,t,,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,w
,s,w,t,a,,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,g,e,k
x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,8,p,n,y,u,e,g
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,k
x,f,y,t,l,,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e,n
b,y,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e,p
b,y,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,w
b,y,w,t,,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e,k
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,g
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,n,g,e,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,8,p,n,v,u,p,p
s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,8,p,n,y,u,e,g
f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,8,p,k,v,u,e,g
x,s,y,t,a,,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,g
,y,n,t,,f,c,b,p,e,r,s,y,w,w,p,w,8,p,k,s,p,e,p
x,y,w,t,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,s,g,p,k
,s,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,g
f,f,g,f,,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e,p
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,n,g,e,g
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,y,p,e,w
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e,p
x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,8,p,n,v,d,e,w
,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,m,e,w
f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,w
,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,n,m,e,k
,f,g,f,n,,c,n,g,e,e,s,s,w,w,p,w,8,p,n,y,u,e,g
b,s,y,t,,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,s,g,e,n
x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,n,m,e,g
x,y,w,t,,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,m,e,n
f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,n
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,g,e,w
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
x,s,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,n,g,e,g
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,h
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,8,p,k,y,p,e,n
x,s,w,t,p,,c,n,k,e,e,s,s,w,w,p,w,8,p,n,v,u,p,k
b,s,w,t,,,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,g,e,n
,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,m,e,k
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,g,e,n
,y,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,n,g,e,w
x,s,y,t,a,,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,w
x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,8,p,n,v,d,e,n
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,n
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e,n
b,s,w,t,l,,c,b,n,e,c,s,s,w,w,p,w,8,p,k,n,m,e,n
x,s,Y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,g
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,g,e,k
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,g,e,w
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,p
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,n
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,s,g,p,k
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e,n
f,f,w,t,,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,p
x,y,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,n,m,e,g
,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,s,g,e,n
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,n,g,e,g
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,g,e,g
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
b,s,y,t,,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,g,e,n
x,f,g,f,,,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e,n
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,s,u,p,k
,y,y,t,,f,c,b,n,e,r,s,y,w,w,p,w,8,p,n,y,p,e,n
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,k
b,s,w,t,,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,n,g,e,k
x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,w
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,g,e,n
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e,n
f,y,y,t,a,,c,b,p,e,r,s,y,w,w,p,w,8,p,k,s,p,e,p
f,y,y,t,,f,c,b,w,e,r,s,y,w,w,p,w,8,p,k,y,p,e,w
x,s,W,t,l,,c,b,w,e,c,s,s,w,w,p,w,8,p,k,s,g,e,w
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,n,m,e,w
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,v,u,p,n
f,f,w,t,,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e,p
x,s,w,t,l,,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,w
x,s,W,t,l,f,w,n,p,t,b,s,s,w,w,p,w,8,p,u,v,d,e,p
x,y,w,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,n
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,w
,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,p
f,y,y,t,,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,y,g,e,w
x,s,n,t,p,,c,n,p,e,e,s,s,w,w,p,w,8,p,n,s,g,p,p
s,f,N,f,,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e,g
b,y,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,s,m,e,w
b,s,w,t,,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,n
b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,k
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,k
x,s,w,t,,,c,b,w,e,c,s,s,w,w,p,w,8,p,k,n,m,e,w
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,n,g,e,g
,y,w,t,a,,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e,w
x,y,w,t,,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,v,g,p,k
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,g,e,n
x,y,w,t,a,,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,n
,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,w
f,f,g,f,,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e,g
f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e,p
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,n,s,m,e,g
b,s,w,t,a,,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,k
,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p,w
,s,W,t,,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,n,m,e,n
,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,8,p,k,v,u,p,w
x,y,w,t,,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,s,g,e,k
,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,k
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,8,p,n,s,p,e,n
,y,N,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,e,w
f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,8,p,n,y,g,e,w
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,8,p,n,n,m,e,w
f,f,n,f,n,,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e,h
x,s,y,t,,,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,k
x,y,w,t,,,c,n,w,e,e,s,s,w,w,p,w,8,p,n,s,g,p,w
b,y,y,t,,,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,m,e,n
,f,n,f,,,c,n,p,e,e,s,s,w,w,p,w,8,p,n,v,u,e,p
,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,m,e,k
,y,W,t,,,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,n
f,y,n,t,,,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e,n
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,m,e,g
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,g,e,g
,y,n,t,,f,c,b,n,e,r,s,y,w,w,p,w,8,p,n,y,p,e,n
